Station              Alpha                Kappa                Threshold            Latitude             Longitude           
Chiclana             10.72593202029485    -0.05913015198338667 11.123985            36.4                 -6.2                
Zamora               5.2267026292420935   -0.09167710161290699 6.870277             41.5                 -5.8                
Velez-malaga         13.278235107084164   -0.10572364389957234 11.497799            36.8                 -4.1                
Gandia               17.163303541077028   -0.2898896386981784  11.785308            39.0                 -0.2                
Elpratdellobregat 10.733291811365714   -0.2059026552534471  9.956137             41.3                 2.1                 
Ponferrada           6.639605834874771    -0.09850324875484118 10.200202            42.5                 -6.6                
Viladecans           9.72022505431982     -0.20987687117927778 10.322344            41.3                 2.0                 
Vilanovailageltru 11.038981987669489   -0.1552541817196018  9.334968             41.2                 1.7                 
Lalinea             14.265157749198663   -0.04366224306848765 16.410423            36.2                 -5.4                
Orihuela             6.490811818929107    -0.28958544829362065 3.8724883            38.1                 -0.9                
Sanlucardebarrameda 9.434606146308356    -0.10545722577559125 9.808207             36.8                 -6.4                
Alcaladeguadaira   11.47982974198238    -0.11429352492379263 12.539235            37.3                 -5.8                
Roquetasdemar      8.659198155693192    -0.22626489707312847 5.4348054            36.8                 -2.6                
Alcoi                10.862753221821222   -0.3021439840954987  8.921944             38.7                 -0.5                
Irun                 11.369426071652944   -0.1660479791577123  23.695446            43.4                 -1.8                
Linares              6.425373842181843    -0.12250568155003871 8.636639             38.1                 -3.6                
Sagunt               9.909862608078061    -0.3134911266281388  7.496188             39.7                 -0.3                
Granollers           10.414874748627904   -0.13200696407928292 10.508638            41.6                 2.3                 
Segovia              4.889166433288588    -0.07551754885273554 8.865726             40.9                 -4.1                
Benidorm             0                    0                    0.0                  38.5                 -0.1                
Torrelavega          11.411136647479282   -0.040271400943052926 19.173908            43.4                 -4.1                
Colladovillalba     7.493080778284082    -0.07479818457159393 9.371111             40.6                 -4.0                
Fuengirola           8.835904575347682    -0.13039127702869213 9.342617             36.5                 -4.6                
Torrevieja           5.304375357037497    -0.38732796172717676 3.3102572            38.0                 -0.7                
Motril               9.903333128378176    -0.17027195730686273 8.720419             36.8                 -3.5                
Mijas                11.87832042701454    -0.17734502680868203 9.473245             36.6                 -4.6                
Elda                 8.478191625416095    -0.1905318365132851  6.818298             38.5                 -0.8                
Avila                5.556874740306246    -0.11604840191450094 7.2476993            40.7                 -4.7                
Molinadesegura     6.551589201917535    -0.23840509643773555 4.3107615            38.1                 -1.2                
Torremolinos         12.550236573928766   -0.1287085869071516  9.539442             36.6                 -4.5                
Merida               7.265123392017551    -0.019530012514090922 8.573658             38.9                 -6.3                
Siero                9.606953262929338    -0.03471103085990368 15.628495            43.4                 -5.7                
Cuenca               7.696633316887311    -0.033801680590913374 11.726422            40.1                 -2.1                
Huesca               7.489608451094214    -0.05215744738765138 9.420839             42.1                 -0.4                
Estepona             16.73922529412507    -0.10899459981930759 18.617702            36.4                 -5.2                
Puertollano          5.772881373988581    -0.09692317403937545 7.594346             38.7                 -4.1                
Vila-real            10.24532079830052    -0.2618619567085063  7.2813587            39.9                 -0.1                
Mieres               9.592362083212475    -0.05670466310925337 15.45447             43.2                 -5.8                
Aranjuez             5.320188829442478    -0.12049136024368812 6.6750937            40.0                 -3.6                
Utrera               11.712573802416046   -0.09878035401987662 12.518288            37.2                 -5.8                
Langreo              9.821445630478049    -0.03493741994803656 15.849095            43.3                 -5.7                
Sanfernandodehenares 5.717132509773126    -0.06136608095438878 7.382396             40.4                 -3.5                
Trescantos          7.985203117530798    0.0002448352244557306 9.994707             40.6                 -3.7                
Antequera            8.569277804805479    -0.015029548620483446 8.765355             37.0                 -4.6                
Rivas-vaciamadrid    5.495536099166854    -0.04081942036344466 6.9394994            40.3                 -3.5                
Colmenarviejo       9.023473674147121    -0.04969088215069073 12.168596            40.7                 -3.8                
Mairenadelaljarafe 10.204909788489376   -0.1743364284103215  11.354395            37.3                 -6.1                
Calvia               10.159314368467394   -0.1632831965802255  10.02772             39.6                 2.5                 
Eivissa              8.402260891575136    -0.2337490329595595  6.644987             38.9                 1.4                 
Denia                0                    0                    0.0                  38.9                 0.1                 
Alzira               12.09673779457203    -0.26076067634304634 8.45853              39.2                 -0.4                
Argandadelrey      5.342906718182251    -0.05782402255475794 7.1697717            40.3                 -3.4                
Valdemoro            5.9096834802463      -0.009752611609008754 6.8630934            40.2                 -3.7                
Lucena               6.729512581734155    -0.10511109953107622 9.984471             37.4                 -4.5                
Plasencia            10.644104829180561   0.0008561387892962458 19.012403            43.2                 -2.4                
Soria                5.906086887673044    -0.11577822695288753 8.811857             41.8                 -2.5                
Alcantarilla         6.955985390439795    -0.23077794940543517 4.014871             38.0                 -1.2                
Errenteria           10.927680792488395   -0.10815294064422076 22.804663            43.3                 -1.9                
Mirandadeebro      5.850446211944517    -0.19245695776606175 8.311392             42.7                 -3.0                
Ronda                17.793388987882604   0.027593111132943715 17.676344            36.7                 -5.2                
Ecija                8.885188835084618    -0.11252801867277507 9.471052             37.5                 -5.1                
Villena              8.661599760589796    -0.1539928222162279  7.348233             38.6                 -0.9                
Vic                  9.60001854924682     -0.1345538378646114  11.780542            41.9                 2.2                 
Cieza                7.062176238327932    -0.25594955795453256 4.819787             38.2                 -1.4                
Andujar              8.615188537763741    -0.02127350508693393 9.679861             38.0                 -4.1                
Igualada             8.84439556761682     -0.11221603724173623 9.470215             41.6                 1.6                 
Ontinyent            10.48133137430779    -0.3233297947593523  8.822042             38.8                 -0.6                
Yecla                7.451497867858975    -0.11702949753171943 5.2304482            38.6                 -1.1                
Vilafrancadelpenedes 5.380054101931757    -0.14278125512093198 6.73002              41.4                 -1.7                
Tudela               5.552203936117083    -0.21225338911013458 5.672301             42.1                 -1.6                
Ubeda                7.477180876354971    -0.08757645952439153 10.909828            38.0                 -3.4                
Lospalaciosyvillafranca 11.961358382546056   -0.12287733812305324 11.801416            37.3                 -6.0                
Tomelloso            5.791467191269985    -0.05094021577205976 6.942781             39.2                 -3.0                
Manacor              8.445351351667975    -0.18306782698549928 9.732313             39.6                 3.2                 
Vilagarciadearousa 15.121431864939256   -0.030853126240551365 26.297445            42.6                 -8.8                
Teruel               6.978314252017868    -0.10995436278235249 8.028114             40.3                 -1.1                
Figueres             10.538809347506941   -0.22764813987103172 11.410554            42.3                 3.0                 
Blanes               11.191510407436429   -0.1719948239336051  11.441235            41.7                 2.8                 
Donbenito           6.624130726579434    -0.07160038049523032 8.497817             39.0                 -5.9                
Larinconada         12.822880210559598   -0.12285517910082966 12.785772            37.5                 -6.0                
Boadilladelmonte   6.490299644564741    -0.024130614925400806 7.844027             40.4                 -3.9                
Arandadeduero      4.846000894474057    -0.09828568492010525 8.054381             41.7                 -3.7                
Alaquas              9.433149660671651    -0.2964436203028167  6.6382318            39.5                 -0.5                
Hellin               6.286124618778192    -0.1934829502189197  4.960298             38.5                 -1.7                
Oleiros              6.567711692319627    -0.08288174490492461 14.209982            43.3                 -8.3                
Rincondelavictoria 12.550889969852047   -0.08280936801496352 10.522895            36.7                 -4.3                
Lavalld'uixo       10.715049608654336   -0.2872314683642805  7.756679             39.8                 -0.2                
Olot                 11.31609368442682    -0.13014526411822147 14.422121            42.2                 2.5                 
Tortosa              11.48950748101378    -0.20453072914039905 8.414471             40.8                 0.5                 
Redondela            11.642882329121075   -0.041943898350951025 22.515734            42.3                 -8.6                
Aguilas              4.735428198649719    -0.34722326004339266 2.6333878            37.4                 -1.6                
Totana               7.084677675475468    -0.2498545898292004  5.021037             37.8                 -1.5                
Puentegenil         7.76697121435623     -0.12455962146354338 9.102018             37.4                 -4.8                
Carballo             9.983563032707217    -0.05296456965573859 20.497206            43.2                 -8.7                
Arcosdelafrontera 13.117397992173352   0.012221989668875999 13.708767            36.8                 -5.8                
Torre-pacheco        7.481937956099046    -0.2983444577345211  3.8623447            37.7                 -1.0                
Novelda              7.148533028425466    -0.22610764105548609 5.3021755            38.4                 -0.8                
Marratxi             10.087294220252616   -0.12441706887676829 10.412903            39.6                 2.8                 
Almendralejo         6.407871802123435    -0.08261597961783029 7.8591056            38.7                 -6.4                
Morondelafrontera 11.672132702991057   -0.10537209368463207 13.942377            37.1                 -5.5                
Eibar                10.636515784377314   -0.02923851418854828 19.023771            43.2                 -2.5                
Alcazardesanjuan  5.333788353406879    -0.1361848323017476  6.690913             39.4                 -3.2                
Alhaurindelatorre 11.742225426253427   -0.10851584868762965 9.49359              36.7                 -4.5                
Elvendrell          8.914863751274616    -0.14367560202071172 9.163097             41.2                 1.5                 
Xativa               11.358257000566395   -0.3573819694393261  8.721559             39.0                 -0.5                
Martorell            10.461501403966583   -0.18983318408712035 11.144423            41.5                 1.9                 
Llucmajor            8.476181347133       -0.1512871056795797  8.214161             39.5                 2.9                 
Valdepenas           5.661843742161746    -0.12802546316016472 7.6633525            38.8                 -3.4                
Carmona              13.301529947894034   -0.06601424302580838 13.216487            37.5                 -5.6                
Crevillent           6.360710901580912    -0.2724035614705014  4.244173             38.3                 -0.8                
Santperederibes   10.355123886470604   -0.1415694498150628  10.076968            41.3                 1.8                 
Sueca                12.113618547905052   -0.2765034064850467  8.634077             39.2                 -0.3                
Arteixo              7.614716333425539    -0.07245921348474038 16.213434            43.3                 -8.5                
Camargo              12.721176538602752   -0.0575132462833956  21.568008            43.4                 -3.9                
Durango              11.174746016807314   0.0018016311846364985 18.527193            43.2                 -2.6                
Ribeira              14.019953312636726   -0.08576176227658028 27.398558            42.8                 -8.9                
Cangas               12.693676537620993   -0.05987110961651032 24.202665            42.3                 -8.8                
Inca                 11.58874644419475    -0.12517357003961438 13.051052            39.7                 2.9                 
Jumilla              5.821233644718282    -0.19953627024918918 4.5527186            38.5                 -1.3                
Caravacadelacruz  7.465172024876316    -0.18162312471098918 5.981688             38.1                 -1.9                
Rota                 8.374824017862483    -0.11160581697675886 9.779814             36.6                 -6.4                
Villanuevadelaserena 6.639513827578472    -0.09279255356845573 8.545048             39.0                 -5.8                
Lavilajoiosa       6.31292091044317     -0.318936028764103   4.72386              38.5                 -0.2                
Mahon                9.583969884613284    -0.16442885756584902 10.560744            39.9                 4.2                 
Mazarron             6.379345181080594    -0.30707157871795254 3.6688926            37.6                 -1.3                
Ciutadellademenorca 9.943219361298649    -0.12798555715631377 10.023714            40.0                 3.8                 
Lebrija              10.680154962001724   -0.01969864128602583 10.394675            36.9                 -6.1                
Castro-urdiales      11.91138765187633    -0.050758985921239175 21.560656            43.4                 -3.2                
Baza                 6.566694861500608    -0.15447273434088404 7.31476              37.5                 -2.8                
