Lattitude        Longitude       
4300621.372      -1035271.2644   
4300621.372      -1024139.3153   
4300621.372      -1013007.3662   
4300621.372      -1001875.4171   
4300621.372      -990743.4681    
4300621.372      -979611.519     
4300621.372      -968479.5699    
4300621.372      -957347.6208    
4300621.372      -946215.6717    
4300621.372      -935083.7227    
4300621.372      -923951.7736    
4300621.372      -912819.8245    
4300621.372      -901687.8754    
4300621.372      -890555.9263    
4300621.372      -879423.9773    
4300621.372      -868292.0282    
4300621.372      -857160.0791    
4300621.372      -846028.13      
4300621.372      -834896.1809    
4300621.372      -823764.2319    
4300621.372      -812632.2828    
4300621.372      -801500.3337    
4300621.372      -790368.3846    
4300621.372      -779236.4356    
4300621.372      -768104.4865    
4300621.372      -756972.5374    
4300621.372      -745840.5883    
4300621.372      -734708.6392    
4300621.372      -723576.6902    
4300621.372      -712444.7411    
4300621.372      -701312.792     
4300621.372      -690180.8429    
4300621.372      -679048.8938    
4300621.372      -667916.9448    
4300621.372      -656784.9957    
4300621.372      -645653.0466    
4300621.372      -634521.0975    
4300621.372      -623389.1484    
4300621.372      -612257.1994    
4300621.372      -601125.2503    
4300621.372      -589993.3012    
4300621.372      -578861.3521    
4300621.372      -567729.403     
4300621.372      -556597.454     
4300621.372      -545465.5049    
4300621.372      -534333.5558    
4300621.372      -523201.6067    
4300621.372      -512069.6576    
4300621.372      -500937.7086    
4300621.372      -489805.7595    
4300621.372      -478673.8104    
4300621.372      -467541.8613    
4300621.372      -456409.9123    
4300621.372      -445277.9632    
4300621.372      -434146.0141    
4300621.372      -423014.065     
4300621.372      -411882.1159    
4300621.372      -400750.1669    
4300621.372      -389618.2178    
4300621.372      -378486.2687    
4300621.372      -367354.3196    
4300621.372      -356222.3705    
4300621.372      -345090.4215    
4300621.372      -333958.4724    
4300621.372      -322826.5233    
4300621.372      -311694.5742    
4300621.372      -300562.6251    
4300621.372      -289430.6761    
4300621.372      -278298.727     
4300621.372      -267166.7779    
4300621.372      -256034.8288    
4300621.372      -244902.8797    
4300621.372      -233770.9307    
4300621.372      -222638.9816    
4300621.372      -211507.0325    
4300621.372      -200375.0834    
4300621.372      -189243.1343    
4300621.372      -178111.1853    
4300621.372      -166979.2362    
4300621.372      -155847.2871    
4300621.372      -144715.338     
4300621.372      -133583.389     
4300621.372      -122451.4399    
4300621.372      -111319.4908    
4300621.372      -100187.5417    
4300621.372      -89055.5926     
4300621.372      -77923.6436     
4300621.372      -66791.6945     
4300621.372      -55659.7454     
4300621.372      -44527.7963     
4300621.372      -33395.8472     
4300621.372      -22263.8982     
4300621.372      -11131.9491     
4300621.372      0.0             
4300621.372      11131.9491      
4300621.372      22263.8982      
4300621.372      33395.8472      
4300621.372      44527.7963      
4300621.372      55659.7454      
4300621.372      66791.6945      
4300621.372      77923.6436      
4300621.372      89055.5926      
4300621.372      100187.5417     
4300621.372      111319.4908     
4300621.372      122451.4399     
4300621.372      133583.389      
4300621.372      144715.338      
4300621.372      155847.2871     
4300621.372      166979.2362     
4300621.372      178111.1853     
4300621.372      189243.1343     
4300621.372      200375.0834     
4300621.372      211507.0325     
4300621.372      222638.9816     
4300621.372      233770.9307     
4300621.372      244902.8797     
4300621.372      256034.8288     
4300621.372      267166.7779     
4300621.372      278298.727      
4300621.372      289430.6761     
4300621.372      300562.6251     
4300621.372      311694.5742     
4300621.372      322826.5233     
4300621.372      333958.4724     
4300621.372      345090.4215     
4300621.372      356222.3705     
4300621.372      367354.3196     
4300621.372      378486.2687     
4300621.372      389618.2178     
4300621.372      400750.1669     
4300621.372      411882.1159     
4300621.372      423014.065      
4300621.372      434146.0141     
4300621.372      445277.9632     
4300621.372      456409.9123     
4300621.372      467541.8613     
4300621.372      478673.8104     
4300621.372      489805.7595     
4314389.9563     -1035271.2644   
4314389.9563     -1024139.3153   
4314389.9563     -1013007.3662   
4314389.9563     -1001875.4171   
4314389.9563     -990743.4681    
4314389.9563     -979611.519     
4314389.9563     -968479.5699    
4314389.9563     -957347.6208    
4314389.9563     -946215.6717    
4314389.9563     -935083.7227    
4314389.9563     -923951.7736    
4314389.9563     -912819.8245    
4314389.9563     -901687.8754    
4314389.9563     -890555.9263    
4314389.9563     -879423.9773    
4314389.9563     -868292.0282    
4314389.9563     -857160.0791    
4314389.9563     -846028.13      
4314389.9563     -834896.1809    
4314389.9563     -823764.2319    
4314389.9563     -812632.2828    
4314389.9563     -801500.3337    
4314389.9563     -790368.3846    
4314389.9563     -779236.4356    
4314389.9563     -768104.4865    
4314389.9563     -756972.5374    
4314389.9563     -745840.5883    
4314389.9563     -734708.6392    
4314389.9563     -723576.6902    
4314389.9563     -712444.7411    
4314389.9563     -701312.792     
4314389.9563     -690180.8429    
4314389.9563     -679048.8938    
4314389.9563     -667916.9448    
4314389.9563     -656784.9957    
4314389.9563     -645653.0466    
4314389.9563     -634521.0975    
4314389.9563     -623389.1484    
4314389.9563     -612257.1994    
4314389.9563     -601125.2503    
4314389.9563     -589993.3012    
4314389.9563     -578861.3521    
4314389.9563     -567729.403     
4314389.9563     -556597.454     
4314389.9563     -545465.5049    
4314389.9563     -534333.5558    
4314389.9563     -523201.6067    
4314389.9563     -512069.6576    
4314389.9563     -500937.7086    
4314389.9563     -489805.7595    
4314389.9563     -478673.8104    
4314389.9563     -467541.8613    
4314389.9563     -456409.9123    
4314389.9563     -445277.9632    
4314389.9563     -434146.0141    
4314389.9563     -423014.065     
4314389.9563     -411882.1159    
4314389.9563     -400750.1669    
4314389.9563     -389618.2178    
4314389.9563     -378486.2687    
4314389.9563     -367354.3196    
4314389.9563     -356222.3705    
4314389.9563     -345090.4215    
4314389.9563     -333958.4724    
4314389.9563     -322826.5233    
4314389.9563     -311694.5742    
4314389.9563     -300562.6251    
4314389.9563     -289430.6761    
4314389.9563     -278298.727     
4314389.9563     -267166.7779    
4314389.9563     -256034.8288    
4314389.9563     -244902.8797    
4314389.9563     -233770.9307    
4314389.9563     -222638.9816    
4314389.9563     -211507.0325    
4314389.9563     -200375.0834    
4314389.9563     -189243.1343    
4314389.9563     -178111.1853    
4314389.9563     -166979.2362    
4314389.9563     -155847.2871    
4314389.9563     -144715.338     
4314389.9563     -133583.389     
4314389.9563     -122451.4399    
4314389.9563     -111319.4908    
4314389.9563     -100187.5417    
4314389.9563     -89055.5926     
4314389.9563     -77923.6436     
4314389.9563     -66791.6945     
4314389.9563     -55659.7454     
4314389.9563     -44527.7963     
4314389.9563     -33395.8472     
4314389.9563     -22263.8982     
4314389.9563     -11131.9491     
4314389.9563     0.0             
4314389.9563     11131.9491      
4314389.9563     22263.8982      
4314389.9563     33395.8472      
4314389.9563     44527.7963      
4314389.9563     55659.7454      
4314389.9563     66791.6945      
4314389.9563     77923.6436      
4314389.9563     89055.5926      
4314389.9563     100187.5417     
4314389.9563     111319.4908     
4314389.9563     122451.4399     
4314389.9563     133583.389      
4314389.9563     144715.338      
4314389.9563     155847.2871     
4314389.9563     166979.2362     
4314389.9563     178111.1853     
4314389.9563     189243.1343     
4314389.9563     200375.0834     
4314389.9563     211507.0325     
4314389.9563     222638.9816     
4314389.9563     233770.9307     
4314389.9563     244902.8797     
4314389.9563     256034.8288     
4314389.9563     267166.7779     
4314389.9563     278298.727      
4314389.9563     289430.6761     
4314389.9563     300562.6251     
4314389.9563     311694.5742     
4314389.9563     322826.5233     
4314389.9563     333958.4724     
4314389.9563     345090.4215     
4314389.9563     356222.3705     
4314389.9563     367354.3196     
4314389.9563     378486.2687     
4314389.9563     389618.2178     
4314389.9563     400750.1669     
4314389.9563     411882.1159     
4314389.9563     423014.065      
4314389.9563     434146.0141     
4314389.9563     445277.9632     
4314389.9563     456409.9123     
4314389.9563     467541.8613     
4314389.9563     478673.8104     
4314389.9563     489805.7595     
4328176.0753     -1035271.2644   
4328176.0753     -1024139.3153   
4328176.0753     -1013007.3662   
4328176.0753     -1001875.4171   
4328176.0753     -990743.4681    
4328176.0753     -979611.519     
4328176.0753     -968479.5699    
4328176.0753     -957347.6208    
4328176.0753     -946215.6717    
4328176.0753     -935083.7227    
4328176.0753     -923951.7736    
4328176.0753     -912819.8245    
4328176.0753     -901687.8754    
4328176.0753     -890555.9263    
4328176.0753     -879423.9773    
4328176.0753     -868292.0282    
4328176.0753     -857160.0791    
4328176.0753     -846028.13      
4328176.0753     -834896.1809    
4328176.0753     -823764.2319    
4328176.0753     -812632.2828    
4328176.0753     -801500.3337    
4328176.0753     -790368.3846    
4328176.0753     -779236.4356    
4328176.0753     -768104.4865    
4328176.0753     -756972.5374    
4328176.0753     -745840.5883    
4328176.0753     -734708.6392    
4328176.0753     -723576.6902    
4328176.0753     -712444.7411    
4328176.0753     -701312.792     
4328176.0753     -690180.8429    
4328176.0753     -679048.8938    
4328176.0753     -667916.9448    
4328176.0753     -656784.9957    
4328176.0753     -645653.0466    
4328176.0753     -634521.0975    
4328176.0753     -623389.1484    
4328176.0753     -612257.1994    
4328176.0753     -601125.2503    
4328176.0753     -589993.3012    
4328176.0753     -578861.3521    
4328176.0753     -567729.403     
4328176.0753     -556597.454     
4328176.0753     -545465.5049    
4328176.0753     -534333.5558    
4328176.0753     -523201.6067    
4328176.0753     -512069.6576    
4328176.0753     -500937.7086    
4328176.0753     -489805.7595    
4328176.0753     -478673.8104    
4328176.0753     -467541.8613    
4328176.0753     -456409.9123    
4328176.0753     -445277.9632    
4328176.0753     -434146.0141    
4328176.0753     -423014.065     
4328176.0753     -411882.1159    
4328176.0753     -400750.1669    
4328176.0753     -389618.2178    
4328176.0753     -378486.2687    
4328176.0753     -367354.3196    
4328176.0753     -356222.3705    
4328176.0753     -345090.4215    
4328176.0753     -333958.4724    
4328176.0753     -322826.5233    
4328176.0753     -311694.5742    
4328176.0753     -300562.6251    
4328176.0753     -289430.6761    
4328176.0753     -278298.727     
4328176.0753     -267166.7779    
4328176.0753     -256034.8288    
4328176.0753     -244902.8797    
4328176.0753     -233770.9307    
4328176.0753     -222638.9816    
4328176.0753     -211507.0325    
4328176.0753     -200375.0834    
4328176.0753     -189243.1343    
4328176.0753     -178111.1853    
4328176.0753     -166979.2362    
4328176.0753     -155847.2871    
4328176.0753     -144715.338     
4328176.0753     -133583.389     
4328176.0753     -122451.4399    
4328176.0753     -111319.4908    
4328176.0753     -100187.5417    
4328176.0753     -89055.5926     
4328176.0753     -77923.6436     
4328176.0753     -66791.6945     
4328176.0753     -55659.7454     
4328176.0753     -44527.7963     
4328176.0753     -33395.8472     
4328176.0753     -22263.8982     
4328176.0753     -11131.9491     
4328176.0753     0.0             
4328176.0753     11131.9491      
4328176.0753     22263.8982      
4328176.0753     33395.8472      
4328176.0753     44527.7963      
4328176.0753     55659.7454      
4328176.0753     66791.6945      
4328176.0753     77923.6436      
4328176.0753     89055.5926      
4328176.0753     100187.5417     
4328176.0753     111319.4908     
4328176.0753     122451.4399     
4328176.0753     133583.389      
4328176.0753     144715.338      
4328176.0753     155847.2871     
4328176.0753     166979.2362     
4328176.0753     178111.1853     
4328176.0753     189243.1343     
4328176.0753     200375.0834     
4328176.0753     211507.0325     
4328176.0753     222638.9816     
4328176.0753     233770.9307     
4328176.0753     244902.8797     
4328176.0753     256034.8288     
4328176.0753     267166.7779     
4328176.0753     278298.727      
4328176.0753     289430.6761     
4328176.0753     300562.6251     
4328176.0753     311694.5742     
4328176.0753     322826.5233     
4328176.0753     333958.4724     
4328176.0753     345090.4215     
4328176.0753     356222.3705     
4328176.0753     367354.3196     
4328176.0753     378486.2687     
4328176.0753     389618.2178     
4328176.0753     400750.1669     
4328176.0753     411882.1159     
4328176.0753     423014.065      
4328176.0753     434146.0141     
4328176.0753     445277.9632     
4328176.0753     456409.9123     
4328176.0753     467541.8613     
4328176.0753     478673.8104     
4328176.0753     489805.7595     
4341979.8158     -1035271.2644   
4341979.8158     -1024139.3153   
4341979.8158     -1013007.3662   
4341979.8158     -1001875.4171   
4341979.8158     -990743.4681    
4341979.8158     -979611.519     
